Start Date,End Date,Start Price,End Price,Profit/Loss,Profit/Loss %,Days Held,Max Price,Min Price,Max Drawdown,Max Drawdown %,Volatility %
2020-03-23,2024-03-22,136.64,3337.08,3200.44,2342.24,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-24,2024-03-23,139.00,3330.49,3191.49,2296.04,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-25,2024-03-24,136.23,3454.45,3318.22,2435.75,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-26,2024-03-25,138.81,3590.96,3452.15,2486.96,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-27,2024-03-26,131.68,3587.60,3455.92,2624.48,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-28,2024-03-27,131.24,3499.77,3368.53,2566.69,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-29,2024-03-28,124.53,3561.10,3436.57,2759.63,1460,4810.97,124.53,3816.56,79.33,4.34
2020-03-30,2024-03-29,132.29,3511.49,3379.20,2554.39,1460,4810.97,132.29,3816.56,79.33,4.34
2020-03-31,2024-03-30,133.10,3507.56,3374.46,2535.28,1460,4810.97,133.10,3816.56,79.33,4.34
2020-04-01,2024-03-31,136.07,3645.98,3509.91,2579.49,1460,4810.97,136.07,3816.56,79.33,4.34
2020-04-02,2024-04-01,141.46,3505.52,3364.06,2378.10,1460,4810.97,141.46,3816.56,79.33,4.34
2020-04-03,2024-04-02,141.48,3279.40,3137.92,2217.92,1460,4810.97,141.48,3816.56,79.33,4.34
2020-04-04,2024-04-03,144.53,3312.24,3167.71,2191.73,1460,4810.97,142.82,3816.56,79.33,4.34
2020-04-05,2024-04-04,142.82,3329.17,3186.35,2231.03,1460,4810.97,142.82,3816.56,79.33,4.34
2020-04-06,2024-04-05,171.78,3319.12,3147.34,1832.19,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-07,2024-04-06,164.70,3352.40,3187.70,1935.46,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-08,2024-04-07,173.21,3453.85,3280.64,1894.02,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-09,2024-04-08,169.89,3694.70,3524.81,2074.76,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-10,2024-04-09,158.16,3504.83,3346.67,2116.00,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-11,2024-04-10,158.55,3545.56,3387.01,2136.24,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-12,2024-04-11,158.81,3503.21,3344.40,2105.91,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-13,2024-04-12,156.81,3239.12,3082.31,1965.63,1460,4810.97,152.94,3816.56,79.33,4.31
2020-04-14,2024-04-13,158.64,3011.51,2852.87,1798.33,1460,4810.97,152.94,3816.56,79.33,4.32
2020-04-15,2024-04-14,152.94,3158.26,3005.32,1965.03,1460,4810.97,152.94,3816.56,79.33,4.32
2020-04-16,2024-04-15,172.60,3103.00,2930.40,1697.80,1460,4810.97,170.65,3816.56,79.33,4.31
2020-04-17,2024-04-16,170.79,3085.42,2914.63,1706.56,1460,4810.97,170.65,3816.56,79.33,4.31
2020-04-18,2024-04-17,187.85,2985.12,2797.27,1489.10,1460,4810.97,170.65,3816.56,79.33,4.30
2020-04-19,2024-04-18,180.32,3065.69,2885.37,1600.14,1460,4810.97,170.65,3816.56,79.33,4.30
2020-04-20,2024-04-19,170.65,3057.95,2887.30,1691.94,1460,4810.97,170.65,3816.56,79.33,4.30
2020-04-21,2024-04-20,171.03,3157.04,2986.01,1745.90,1460,4810.97,171.03,3816.56,79.33,4.30
2020-04-22,2024-04-21,183.02,3148.11,2965.09,1620.09,1460,4810.97,183.02,3816.56,79.33,4.29
2020-04-23,2024-04-22,185.73,3201.55,3015.82,1623.77,1460,4810.97,185.73,3816.56,79.33,4.29
2020-04-24,2024-04-23,187.66,3219.78,3032.12,1615.75,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-25,2024-04-24,194.41,3139.10,2944.69,1514.68,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-26,2024-04-25,197.62,3155.47,2957.85,1496.74,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-27,2024-04-26,196.71,3130.07,2933.36,1491.21,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-28,2024-04-27,196.88,3253.23,3056.35,1552.39,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-29,2024-04-28,215.58,3262.43,3046.85,1413.33,1460,4810.97,185.77,3816.56,79.33,4.29
2020-04-30,2024-04-29,206.44,3215.73,3009.29,1457.71,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-01,2024-04-30,212.16,3011.46,2799.30,1319.43,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-02,2024-05-01,214.11,2968.82,2754.71,1286.59,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-03,2024-05-02,210.12,2986.41,2776.29,1321.29,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-04,2024-05-03,206.76,3103.77,2897.01,1401.15,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-05,2024-05-04,205.43,3117.52,2912.09,1417.56,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-06,2024-05-05,199.08,3137.09,2938.01,1475.79,1460,4810.97,185.77,3816.56,79.33,4.29
2020-05-07,2024-05-06,212.30,3063.19,2850.89,1342.86,1460,4810.97,185.77,3816.56,79.33,4.29
