Start Date,End Date,Start Price,End Price,Profit/Loss,Profit/Loss %,Days Held,Max Price,Min Price,Max Drawdown,Max Drawdown %,Volatility %
1975-01-01,1979-12-31,100.62,103.19,2.57,2.55,1825,103.39,99.06,2.02,1.95,0.84
1975-01-02,1980-01-01,100.68,102.88,2.20,2.18,1825,103.39,99.06,2.02,1.95,0.84
1975-01-03,1980-01-02,99.55,102.09,2.54,2.55,1825,103.39,99.06,2.02,1.95,0.84
1975-01-04,1980-01-03,100.36,103.31,2.95,2.94,1825,103.39,99.06,2.02,1.95,0.84
1975-01-05,1980-01-04,100.80,102.77,1.97,1.96,1825,103.39,99.06,2.02,1.95,0.84
1975-01-06,1980-01-05,99.86,101.65,1.79,1.79,1825,103.39,99.06,2.02,1.95,0.84
1975-01-07,1980-01-06,100.86,101.55,0.69,0.68,1825,103.39,99.06,2.02,1.95,0.84
1975-01-08,1980-01-07,100.62,102.84,2.22,2.21,1825,103.39,99.06,2.02,1.95,0.84
1975-01-09,1980-01-08,99.36,103.07,3.72,3.74,1825,103.39,99.06,2.02,1.95,0.84
1975-01-10,1980-01-09,100.03,102.57,2.54,2.54,1825,103.39,99.06,2.02,1.95,0.84
1975-01-11,1980-01-10,100.11,103.28,3.18,3.17,1825,103.39,99.06,2.02,1.95,0.84
1975-01-12,1980-01-11,99.12,103.21,4.09,4.12,1825,103.39,99.06,2.02,1.95,0.84
1975-01-13,1980-01-12,99.53,102.67,3.13,3.15,1825,103.39,99.06,2.02,1.95,0.84
1975-01-14,1980-01-13,99.40,101.99,2.59,2.60,1825,103.39,99.06,2.02,1.95,0.84
1975-01-15,1980-01-14,99.94,102.43,2.50,2.50,1825,103.39,99.06,2.02,1.95,0.84
1975-01-16,1980-01-15,100.58,102.03,1.45,1.44,1825,103.39,99.06,2.02,1.95,0.84
1975-01-17,1980-01-16,100.87,101.60,0.73,0.72,1825,103.39,99.06,2.02,1.95,0.84
1975-01-18,1980-01-17,99.31,103.30,3.99,4.02,1825,103.39,99.06,2.02,1.95,0.84
1975-01-19,1980-01-18,100.96,102.69,1.73,1.71,1825,103.39,99.06,2.02,1.95,0.84
1975-01-20,1980-01-19,100.82,103.35,2.53,2.51,1825,103.39,99.06,2.02,1.95,0.84
1975-01-21,1980-01-20,99.94,102.76,2.82,2.82,1825,103.39,99.06,2.02,1.95,0.84
1975-01-22,1980-01-21,100.99,102.86,1.87,1.86,1825,103.39,99.06,2.02,1.95,0.84
1975-01-23,1980-01-22,100.40,103.52,3.12,3.10,1825,103.52,99.06,2.02,1.95,0.84
1975-01-24,1980-01-23,99.46,102.74,3.29,3.30,1825,103.52,99.06,2.02,1.95,0.84
1975-01-25,1980-01-24,100.30,101.84,1.54,1.53,1825,103.52,99.06,2.02,1.95,0.84
